FullPath,Directory,FileName,ShortFileName,CreationTime,LastAccessTime,LastWriteTime,Size,AttributeArchive,AttributeCompressed,AttributeEncrypted,AttributeHidden,AttributeNormal,AttributeOffline,AttributeReadonly,AttributeReparsePoint,AttributeSparseFile,AttributeSystem,AttributeTemporary
C:\Users\Abdala\Desktop\breno\Alteryx na prática\3. Aula 2 - Salvando arquivo após tratamento\Salvando_base_de_dados_após_tratamento.bak,C:\Users\Abdala\Desktop\breno\Alteryx na prática\3. Aula 2 - Salvando arquivo após tratamento\,Salvando_base_de_dados_após_tratamento.bak,SALVAN~1.BAK,2022-11-24 18:15:06,2022-11-24 18:15:06,2022-11-24 16:08:07,7800,True,False,False,True,False,False,False,False,False,False,False
C:\Users\Abdala\Desktop\breno\Alteryx na prática\3. Aula 2 - Salvando arquivo após tratamento\Salvando_base_de_dados_após_tratamento.yxmd,C:\Users\Abdala\Desktop\breno\Alteryx na prática\3. Aula 2 - Salvando arquivo após tratamento\,Salvando_base_de_dados_após_tratamento.yxmd,SALVAN~1.YXM,2022-11-24 16:01:44,2022-11-24 18:15:06,2022-11-24 18:15:06,9388,True,False,False,False,False,False,False,False,False,False,False
